timeframe,split,direction,horizon,event_semantics,comparison_scope,dynamic_event_count,dynamic_reversal_rate,dynamic_absolute_lift,shared_base_rate,dynamic_minus_quantile_lift,dynamic_minus_quantile_reversal_rate,vs_quantile_class,dynamic_minus_atr_lift,dynamic_minus_atr_reversal_rate,vs_atr_class
12H,VALIDATION,OS,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,54,0.6296296296296297,0.1503238886416457,0.47930574098798395,0.09932659932659937,0.09932659932659937,BETTER,0.18226120857699807,0.18226120857699807,BETTER
12H,VALIDATION,OS,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,54,0.5925925925925926,0.09593931280678264,0.4966532797858099,0.047138047138047146,0.047138047138047146,BETTER,0.013645224171539905,0.013645224171539905,BETTER
12H,VALIDATION,OS,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,54,0.5370370370370371,0.028312204822272036,0.508724832214765,-0.08417508417508412,-0.08417508417508412,WORSE,-0.06822612085769975,-0.06822612085769975,WORSE
12H,VALIDATION,OS,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,54,0.5555555555555556,0.019069069069069133,0.5364864864864864,-0.005050505050504972,-0.005050505050504972,SIMILAR,-0.07602339181286544,-0.07602339181286544,WORSE
15m,DISCOVERY,OB,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,9214,0.5418927718688952,0.0471307778658967,0.4947619940029985,-0.0003646908176719865,-0.0003646908176719865,SIMILAR,0.029932823788049623,0.029932823788049623,BETTER
15m,DISCOVERY,OB,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,9214,0.54699370523117,0.055089808981240274,0.4919038962499297,0.004549675380423723,0.004549675380423723,SIMILAR,0.04467588583565729,0.04467588583565729,BETTER
15m,DISCOVERY,OB,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,9214,0.5408074668981984,0.049850159652799375,0.490957307245399,0.006572392271332661,0.006572392271332661,SIMILAR,0.03886049860596774,0.03886049860596774,BETTER
15m,DISCOVERY,OB,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,9213,0.5274069249972865,0.04038122005590272,0.48702570494138375,0.0057124209383146995,0.0057124209383146995,SIMILAR,0.019617607489868072,0.019617607489868072,BETTER
15m,DISCOVERY,OS,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,9140,0.5591903719912472,0.05783167633907327,0.501358695652174,0.004948305973242251,0.004948305973242251,SIMILAR,-0.008117320316445076,-0.008117320316445076,SIMILAR
15m,DISCOVERY,OS,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,9140,0.563457330415755,0.057938111539838966,0.505519218875916,0.004941371517873772,0.004941371517873772,SIMILAR,0.003546087812204668,0.003546087812204668,SIMILAR
15m,DISCOVERY,OS,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,9140,0.5599562363238512,0.0525908927952331,0.5073653435286181,0.002713351900826666,0.002713351900826666,SIMILAR,-0.0053174323152020975,-0.0053174323152020975,SIMILAR
15m,DISCOVERY,OS,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,9140,0.5614879649890591,0.05012550001356453,0.5113624649754945,0.008973642901216938,0.008973642901216938,SIMILAR,-0.0017516799813551698,-0.0017516799813551698,SIMILAR
15m,VALIDATION,OB,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,2952,0.5609756097560976,0.0646749867031381,0.4963006230529595,-0.01512069290942264,-0.01512069290942264,WORSE,0.0038405632826148395,0.0038405632826148395,SIMILAR
15m,VALIDATION,OB,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,2952,0.5538617886178862,0.0565321641394439,0.49732962447844226,-0.0007383833511593885,-0.0007383833511593885,SIMILAR,0.01859661639262644,0.01859661639262644,BETTER
15m,VALIDATION,OB,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,2952,0.551490514905149,0.054606126343893835,0.49688438856125516,-0.0005301213803196037,-0.0005301213803196037,SIMILAR,0.004196911843366569,0.004196911843366569,SIMILAR
15m,VALIDATION,OB,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,2952,0.5220189701897019,0.02206070293321244,0.49995826725648945,-0.017963832905740884,-0.017963832905740884,WORSE,-0.023634392303463758,-0.023634392303463758,WORSE
15m,VALIDATION,OS,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,2823,0.5614594403117251,0.059484584949019315,0.5019748553627058,-0.0106151781167656,-0.0106151781167656,WORSE,-0.00290775143189248,-0.00290775143189248,SIMILAR
15m,VALIDATION,OS,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,2823,0.5681898689337584,0.06677123193793089,0.5014186369958276,-0.005015331744590901,-0.005015331744590901,SIMILAR,0.011427239927783384,0.011427239927783384,BETTER
15m,VALIDATION,OS,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,2823,0.5501239815798795,0.04762036524517388,0.5025036163347056,-0.002448093038548982,-0.002448093038548982,SIMILAR,-0.004465915215340455,-0.004465915215340455,SIMILAR
15m,VALIDATION,OS,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,2823,0.5363088912504428,0.036601020455016675,0.4997078707954261,-0.007808755808380696,-0.007808755808380696,SIMILAR,0.0018167674047068205,0.0018167674047068205,SIMILAR
1D,DISCOVERY,OB,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,122,0.5081967213114754,0.04378390992357506,0.46441281138790036,0.012470225584979677,0.012470225584979677,BETTER,0.019307832422586546,0.019307832422586546,BETTER
1D,DISCOVERY,OB,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,122,0.5081967213114754,0.05543379796031678,0.45276292335115864,0.08084629396104809,0.08084629396104809,BETTER,0.07486338797814207,0.07486338797814207,BETTER
1D,DISCOVERY,OB,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,122,0.47540983606557374,0.02987412177985943,0.4455357142857143,0.08224744290318059,0.08224744290318059,BETTER,-0.04681238615664851,-0.04681238615664851,WORSE
1D,DISCOVERY,OB,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,122,0.4180327868852459,-0.007976181724619558,0.4260089686098655,0.016323385175844196,0.016323385175844196,BETTER,0.006921675774134828,0.006921675774134828,SIMILAR
1D,DISCOVERY,OS,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,82,0.6219512195121951,0.08636403090009548,0.5355871886120996,0.05052264808362372,0.05052264808362372,BETTER,0.05298570227081578,0.05298570227081578,BETTER
1D,DISCOVERY,OS,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,82,0.6585365853658537,0.11129950871701233,0.5472370766488414,-0.0047287207565952505,-0.0047287207565952505,SIMILAR,0.10681244743481921,0.10681244743481921,BETTER
1D,DISCOVERY,OS,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,82,0.6707317073170732,0.11716027874564461,0.5535714285714286,0.03807864609258338,0.03807864609258338,BETTER,0.1362489486963836,0.1362489486963836,BETTER
1D,DISCOVERY,OS,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,82,0.6707317073170732,0.09674067592693869,0.5739910313901345,-0.0027376804380288,-0.0027376804380288,SIMILAR,0.1707317073170732,0.1707317073170732,BETTER
1D,VALIDATION,OB,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,25,0.56,0.043957219251337,0.516042780748663,,,INSUFFICIENT,,,INSUFFICIENT
1D,VALIDATION,OB,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,25,0.44,-0.030430107526881744,0.47043010752688175,,,INSUFFICIENT,,,INSUFFICIENT
1D,VALIDATION,OB,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,25,0.56,0.08972972972972976,0.4702702702702703,,,INSUFFICIENT,,,INSUFFICIENT
1D,VALIDATION,OB,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,25,0.56,0.11616438356164388,0.4438356164383562,,,INSUFFICIENT,,,INSUFFICIENT
1D,VALIDATION,OS,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,29,0.5172413793103449,0.03328416005900797,0.4839572192513369,,,INSUFFICIENT,,,INSUFFICIENT
1D,VALIDATION,OS,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,29,0.4827586206896552,-0.04681127178346306,0.5295698924731183,,,INSUFFICIENT,,,INSUFFICIENT
1D,VALIDATION,OS,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,29,0.4827586206896552,-0.046971109040074566,0.5297297297297298,,,INSUFFICIENT,,,INSUFFICIENT
1D,VALIDATION,OS,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,28,0.5,-0.05616438356164388,0.5561643835616439,,,INSUFFICIENT,,,INSUFFICIENT
1H,DISCOVERY,OB,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,2145,0.5286713286713287,0.037383333583824896,0.4912879950875038,-0.014655160035036752,-0.014655160035036752,WORSE,0.025275102256234416,0.025275102256234416,BETTER
1H,DISCOVERY,OB,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,2145,0.531934731934732,0.048285388263894446,0.4836493436708375,-0.005642270118656145,-0.005642270118656145,SIMILAR,0.025519637595109335,0.025519637595109335,BETTER
1H,DISCOVERY,OB,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,2145,0.5272727272727272,0.046273187889954326,0.4809995393827729,-0.004554788127683507,-0.004554788127683507,SIMILAR,0.03444253859348195,0.03444253859348195,BETTER
1H,DISCOVERY,OB,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,2145,0.49696969696969695,0.017567078625933763,0.4794026183437632,0.013602140501524473,0.013602140501524473,BETTER,0.04564894225271582,0.04564894225271582,BETTER
1H,DISCOVERY,OS,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,2047,0.5593551538837322,0.0529842604234928,0.5063708934602394,-0.005069481448520596,-0.005069481448520596,SIMILAR,0.005024445222314933,0.005024445222314933,SIMILAR
1H,DISCOVERY,OS,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,2047,0.5666829506595017,0.05148374900140695,0.5151992016580947,0.0006375697842990746,0.0006375697842990746,SIMILAR,0.004478226250052897,0.004478226250052897,SIMILAR
1H,DISCOVERY,OS,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,2046,0.5679374389051809,0.04978144320427502,0.5181559957009059,0.010985675629947789,0.010985675629947789,BETTER,0.0065201160705352645,0.0065201160705352645,SIMILAR
1H,DISCOVERY,OS,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,2046,0.5434995112414467,0.023861933017466974,0.5196375782239797,0.00457007085215233,0.00457007085215233,SIMILAR,0.008066440375304906,0.008066440375304906,SIMILAR
1H,VALIDATION,OB,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,661,0.5537065052950075,0.05013028714570045,0.5035762181493071,-0.03564710687229289,-0.03564710687229289,WORSE,-0.0036329442462769146,-0.0036329442462769146,SIMILAR
1H,VALIDATION,OB,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,661,0.5431164901664145,0.047252416837552436,0.49586407332886207,0.010797098531433513,0.010797098531433513,BETTER,0.004125664478341062,0.004125664478341062,SIMILAR
1H,VALIDATION,OB,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,661,0.5143721633888049,0.015266617771631352,0.4991055456171735,-0.0040055298938314055,-0.0040055298938314055,SIMILAR,-0.010857194409360282,-0.010857194409360282,WORSE
1H,VALIDATION,OB,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,660,0.5212121212121212,0.009186167526026634,0.5120259536860946,0.0027877247699357177,0.0027877247699357177,SIMILAR,0.014331387267167095,0.014331387267167095,BETTER
1H,VALIDATION,OS,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,692,0.5505780346820809,0.05482479373438309,0.4957532409476978,-0.01804941629831125,-0.01804941629831125,WORSE,0.00013943819085282527,0.00013943819085282527,SIMILAR
1H,VALIDATION,OS,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,692,0.5635838150289018,0.0598950155654544,0.5036887994634474,0.00898258803503671,0.00898258803503671,SIMILAR,0.00656627116925268,0.00656627116925268,SIMILAR
1H,VALIDATION,OS,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,692,0.5635838150289018,0.06347200823104848,0.5001118067978533,0.0028476187098833705,0.0028476187098833705,SIMILAR,-0.002205658655308751,-0.002205658655308751,SIMILAR
1H,VALIDATION,OS,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,692,0.5303468208092486,0.04259651316857288,0.4877503076406757,-0.003395510479095032,-0.003395510479095032,SIMILAR,-0.01351282831355849,-0.01351282831355849,WORSE
2H,DISCOVERY,OB,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,1082,0.5582255083179297,0.07130600367396689,0.48691950464396283,0.017088951914197792,0.017088951914197792,BETTER,0.06176157621043327,0.06176157621043327,BETTER
2H,DISCOVERY,OB,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,1082,0.5175600739371534,0.0394674899458235,0.4780925839913299,0.010350574361241649,0.010350574361241649,BETTER,0.03665484055667251,0.03665484055667251,BETTER
2H,DISCOVERY,OB,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,1082,0.4879852125693161,0.010360560974395083,0.477624651594921,0.005372829193573958,0.005372829193573958,SIMILAR,0.03395409517186204,0.03395409517186204,BETTER
2H,DISCOVERY,OB,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,1082,0.46210720887245843,-0.011132664104073209,0.47323987297653164,-0.011577001653857333,-0.011577001653857333,WORSE,0.006661664318002969,0.006661664318002969,SIMILAR
2H,DISCOVERY,OS,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,1047,0.5549188156638013,0.0431541097814484,0.5117647058823529,-0.014324340535876612,-0.014324340535876612,WORSE,0.005289186034171722,0.005289186034171722,SIMILAR
2H,DISCOVERY,OS,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,1046,0.5468451242829828,0.025711821914195077,0.5211333023687877,0.015444158099407912,0.015444158099407912,BETTER,0.0016599390977976025,0.0016599390977976025,SIMILAR
2H,DISCOVERY,OS,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,1046,0.5458891013384322,0.024442833143944687,0.5214462681944875,-0.004835536342727265,-0.004835536342727265,SIMILAR,0.00811132356065436,0.00811132356065436,SIMILAR
2H,DISCOVERY,OS,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,1046,0.5468451242829828,0.020549717265710754,0.5262954070172721,0.0057823223506157095,0.0057823223506157095,SIMILAR,0.0001784576163161855,0.0001784576163161855,SIMILAR
2H,VALIDATION,OB,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,343,0.5131195335276968,0.021786200194363448,0.49133333333333334,-0.02277790236973909,-0.02277790236973909,WORSE,-0.041047133138969905,-0.041047133138969905,WORSE
2H,VALIDATION,OB,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,343,0.5160349854227405,0.013589454075475071,0.5024455313472654,-0.012170142782387705,-0.012170142782387705,WORSE,0.007701652089407207,0.007701652089407207,SIMILAR
2H,VALIDATION,OB,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,343,0.49271137026239065,-0.018854466036541728,0.5115658362989324,-0.011144670868714734,-0.011144670868714734,WORSE,0.030211370262390624,0.030211370262390624,BETTER
2H,VALIDATION,OB,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,343,0.46355685131195334,-0.038558490482747176,0.5021153417947005,-0.01459224894511607,-0.01459224894511607,WORSE,0.05522351797862002,0.05522351797862002,BETTER
2H,VALIDATION,OS,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,356,0.5646067415730337,0.05682896379525593,0.5077777777777778,-0.04578286881657667,-0.04578286881657667,WORSE,-0.04120238705767165,-0.04120238705767165,WORSE
2H,VALIDATION,OS,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,356,0.5393258426966292,0.041993695075464244,0.49733214762116495,-0.011323507952721412,-0.011323507952721412,WORSE,-0.004242622033661214,-0.004242622033661214,SIMILAR
2H,VALIDATION,OS,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,356,0.5140449438202247,0.02583320004798273,0.48821174377224197,-0.005435575660294734,-0.005435575660294734,SIMILAR,-0.000477877756538736,-0.000477877756538736,SIMILAR
2H,VALIDATION,OS,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,356,0.5028089887640449,0.005592333230756086,0.4972166555332888,0.006705092660148793,0.006705092660148793,SIMILAR,-0.007564455219357558,-0.007564455219357558,SIMILAR
30m,DISCOVERY,OB,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,4504,0.5575044404973357,0.06373282074042214,0.4937716197569136,0.0023588094293744977,0.0023588094293744977,SIMILAR,0.04339902104670468,0.04339902104670468,BETTER
30m,DISCOVERY,OB,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,4503,0.5369753497668222,0.046171773274884365,0.4908035764919378,-0.007879019165216716,-0.007879019165216716,SIMILAR,0.028991688422596362,0.028991688422596362,BETTER
30m,DISCOVERY,OB,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,4503,0.528758605374195,0.041698358488620524,0.4870602468855744,-0.010763631953441544,-0.010763631953441544,WORSE,0.01780427934374562,0.01780427934374562,BETTER
30m,DISCOVERY,OB,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,4503,0.5178769709082833,0.03787923959660339,0.47999773131167994,-0.007661968691638932,-0.007661968691638932,SIMILAR,0.012492641164503104,0.012492641164503104,BETTER
30m,DISCOVERY,OS,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,4306,0.5647933116581514,0.061267991733005345,0.503525319925146,-0.0035064001574105497,-0.0035064001574105497,SIMILAR,0.0035029890775062356,0.0035029890775062356,SIMILAR
30m,DISCOVERY,OS,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,4306,0.5559684161634928,0.048567799918053156,0.5074006162454396,-0.006951852808649406,-0.006951852808649406,SIMILAR,0.003786252975637061,0.003786252975637061,SIMILAR
30m,DISCOVERY,OS,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,4306,0.5631676730143985,0.051815851618909003,0.5113518213954895,-0.002826563296840723,-0.002826563296840723,SIMILAR,0.006810936771514231,0.006810936771514231,SIMILAR
30m,DISCOVERY,OS,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,4305,0.5572590011614402,0.03805077338513285,0.5192082277763074,0.004991514612631587,0.004991514612631587,SIMILAR,-0.003105463531042685,-0.003105463531042685,SIMILAR
30m,VALIDATION,OB,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,1400,0.5614285714285714,0.06722115246900806,0.4942074189595633,-0.010692640692640754,-0.010692640692640754,WORSE,0.01120026092628823,0.01120026092628823,BETTER
30m,VALIDATION,OB,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,1400,0.55,0.05272950089126566,0.4972704991087344,-0.017272727272727217,-0.017272727272727217,WORSE,0.0031963470319634757,0.0031963470319634757,SIMILAR
30m,VALIDATION,OB,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,1400,0.5328571428571428,0.03213290887385589,0.5007242339832869,-0.009567099567099668,-0.009567099567099668,SIMILAR,-0.007097195042400584,-0.007097195042400584,SIMILAR
30m,VALIDATION,OB,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,1400,0.5257142857142857,0.025686422799824804,0.5000278629144609,-0.016103896103896176,-0.016103896103896176,WORSE,0.0017416829745596774,0.0017416829745596774,SIMILAR
30m,VALIDATION,OS,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,1351,0.6032568467801629,0.09891241099983539,0.5043444357803275,0.02354670185262664,0.02354670185262664,BETTER,0.030235665063328976,0.030235665063328976,BETTER
30m,VALIDATION,OS,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,1351,0.5677276091783864,0.06555514928533823,0.5021724598930482,0.0013507975841834385,0.0013507975841834385,SIMILAR,-0.0008342637313125678,-0.0008342637313125678,SIMILAR
30m,VALIDATION,OS,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,1350,0.5718518518518518,0.07291034767357885,0.498941504178273,-0.0023940878233221774,-0.0023940878233221774,SIMILAR,0.031160658986745915,0.031160658986745915,BETTER
30m,VALIDATION,OS,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,1350,0.5711111111111111,0.07169623231478905,0.49941487879632207,0.006651180797522249,0.006651180797522249,SIMILAR,0.03822370865849123,0.03822370865849123,BETTER
4H,DISCOVERY,OB,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,605,0.5289256198347108,0.04662271842198101,0.48230290141272975,0.008355999581546203,0.008355999581546203,SIMILAR,0.022628390615567207,0.022628390615567207,BETTER
4H,DISCOVERY,OB,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,605,0.46611570247933887,-0.008280285972264212,0.4743959884516031,-0.0054032848624333,-0.0054032848624333,SIMILAR,0.050498574015862774,0.050498574015862774,BETTER
4H,DISCOVERY,OB,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,605,0.4479338842975207,-0.01961437531640242,0.4675482596139231,0.001731352651951068,0.001731352651951068,SIMILAR,0.024760080771072335,0.024760080771072335,BETTER
4H,DISCOVERY,OB,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,605,0.4628099173553719,7.79429105894347e-05,0.4627319744447825,0.002366879380688358,0.002366879380688358,SIMILAR,0.006890521889376944,0.006890521889376944,SIMILAR
4H,DISCOVERY,OS,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,494,0.5668016194331984,0.050319772251062544,0.5164818471821359,-0.025532875340320782,-0.025532875340320782,WORSE,-0.011710777261016436,-0.011710777261016436,WORSE
4H,DISCOVERY,OS,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,494,0.5951417004048583,0.06984159403804469,0.5253001063668136,0.020228808418795485,0.020228808418795485,BETTER,0.07723536431670397,0.07723536431670397,BETTER
4H,DISCOVERY,OS,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,494,0.5910931174089069,0.05879337580683974,0.5322997416020672,0.021406706259081143,0.021406706259081143,BETTER,0.009825899778052927,0.009825899778052927,SIMILAR
4H,DISCOVERY,OS,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,494,0.5991902834008097,0.06207437223561352,0.5371159111651962,0.041698994202203465,0.041698994202203465,BETTER,0.023432707643233908,0.023432707643233908,BETTER
4H,VALIDATION,OB,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,166,0.5240963855421686,0.023429422447459936,0.5006669630947087,-0.024126964711638443,-0.024126964711638443,WORSE,-0.03145917001338694,-0.03145917001338694,WORSE
4H,VALIDATION,OB,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,166,0.463855421686747,-0.04838311858917643,0.5122385402759234,-0.010634374231620392,-0.010634374231620392,WORSE,0.04322050105182634,0.04322050105182634,BETTER
4H,VALIDATION,OB,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,166,0.4759036144578313,-0.03278235436176785,0.5086859688195992,0.016719940988443538,0.016719940988443538,BETTER,0.06320520175941863,0.06320520175941863,BETTER
4H,VALIDATION,OB,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,166,0.46987951807228917,-0.03101333907056797,0.5008928571428571,0.01579788541922794,0.01579788541922794,BETTER,0.03337158156435266,0.03337158156435266,BETTER
4H,VALIDATION,OS,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,168,0.5833333333333334,0.08400029642804213,0.49933303690529124,0.01333333333333342,0.01333333333333342,BETTER,-0.01822916666666663,-0.01822916666666663,WORSE
4H,VALIDATION,OS,3,FORECAST_REALIZATION,COMMON_ELIGIBILITY,168,0.4523809523809524,-0.035380507343124146,0.48776145972407653,-0.057619047619047625,-0.057619047619047625,WORSE,-0.07105654761904762,-0.07105654761904762,WORSE
4H,VALIDATION,OS,5,FORECAST_REALIZATION,COMMON_ELIGIBILITY,168,0.5238095238095238,0.03294092692756395,0.4908685968819599,0.008809523809523823,0.008809523809523823,SIMILAR,-0.007440476190476164,-0.007440476190476164,SIMILAR
4H,VALIDATION,OS,10,FORECAST_REALIZATION,COMMON_ELIGIBILITY,168,0.5595238095238095,0.060416666666666674,0.49910714285714286,0.024523809523809503,0.024523809523809503,BETTER,0.0004686914135733078,0.0004686914135733078,SIMILAR
5m,DISCOVERY,OB,1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,28829,0.5371674355683513,0.04189458869584328,0.49527284687250805,0.0007959929775760433,0.0007959929775760433,SIMILAR,0.008049124377887629,0.008049124377887629,SIMILAR
