timeframe,split,direction,control_id,comparison_scope,denominator_label,denominator_count,event_count,events_per_1000
2H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,12921,1047,81.03087996285117
2H,VALIDATION,OB,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,4501,240,53.32148411464119
2H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,4501,390,86.64741168629193
2H,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,4501,343,76.20528771384137
2H,VALIDATION,OS,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,4501,241,53.54365696511886
2H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,4501,385,85.53654743390356
2H,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,4501,356,79.0935347700511
30m,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,53646,2734,50.963725161242216
30m,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,53608,5227,97.50410386509476
30m,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,52904,4504,85.13533948283683
30m,DISCOVERY,OS,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,53646,2667,49.71479700257242
30m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,53608,5287,98.62333980002985
30m,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,52904,4306,81.39271132617571
30m,VALIDATION,OB,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,17988,876,48.69913275517011
30m,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,17986,1654,91.96041365506505
30m,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,17955,1400,77.97270955165692
30m,VALIDATION,OS,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,17988,897,49.866577718478986
30m,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,17986,1727,96.01912598687869
30m,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,17955,1351,75.24366471734893
4H,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,6708,402,59.92844364937388
4H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,6702,645,96.23992837958818
4H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,6584,605,91.88942891859053
4H,DISCOVERY,OS,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,6708,367,54.710793082886106
4H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,6702,586,87.43658609370337
4H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,6584,494,75.03037667071689
4H,VALIDATION,OB,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,2250,126,56.0
4H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,2250,197,87.55555555555556
4H,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,2250,166,73.77777777777777
4H,VALIDATION,OS,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,2250,128,56.88888888888889
4H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,2250,200,88.88888888888889
4H,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,2250,168,74.66666666666667
5m,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,323082,19095,59.102642672758
5m,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,323044,32696,101.21221876896027
5m,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,322288,28829,89.45104999255324
5m,DISCOVERY,OS,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,323082,18799,58.186466593620196
5m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,323044,33426,103.4719728581865
5m,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,322288,28807,89.38278806533287
5m,VALIDATION,OB,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,107989,6991,64.73807517432331
5m,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,107987,10764,99.67866502449368
5m,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,107942,9214,85.3606566489411
5m,VALIDATION,OS,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,107989,6918,64.06208039707748
5m,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,107987,10848,100.45653643494124
5m,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,107942,9251,85.70343332530433
6H,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,4486,254,56.620597414177446
6H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,4484,450,100.35682426404996
6H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,4443,419,94.30564933603421
6H,DISCOVERY,OS,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,4486,233,51.939366919304504
6H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,4484,380,84.7457627118644
6H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,4443,323,72.69862705379249
6H,VALIDATION,OB,ATR_1X_PRICE_BAND_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,1501,82,54.63024650233178
6H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,1501,124,82.6115922718188
6H,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,NATIVE_AVAILABILITY,CONTROL_NATIVE_VALID_BARS,1501,128,85.27648234510326
