timeframe,split,direction,control_id,event_semantics,comparison_scope,horizon,event_count,base_sample_count,sample_flag,reversal_rate,reversal_wilson_lo,reversal_wilson_hi,base_rate,absolute_lift,relative_lift,forward_return_mean,forward_return_median,forward_return_mean_ci_lo,forward_return_mean_ci_hi,mfe_pct_mean,mfe_pct_median,mfe_pct_mean_ci_lo,mfe_pct_mean_ci_hi,mae_pct_mean,mae_pct_median,mae_pct_mean_ci_lo,mae_pct_mean_ci_hi,mfe_atr_mean,mfe_atr_median,mfe_atr_mean_ci_lo,mfe_atr_mean_ci_hi,mae_atr_mean,mae_atr_median,mae_atr_mean_ci_lo,mae_atr_mean_ci_hi
6H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,10,378,4433,N_GE_100,0.58994708994709,0.5397004719955257,0.638383843595023,0.5436498984886081,0.04629719145848188,0.08515993764956442,0.01122587572009015,0.013555023494905005,0.0020586773685849903,0.019958402786984113,6.0105578346630395,4.145420803692403,5.4120970107098625,6.633366000060237,6.299261219635531,3.6700168750686464,5.577838503060668,7.084724031636029,1.641706487809001,1.301477122618894,1.5081731049417626,1.7997753046793001,1.7766045714047647,1.2153968368447956,1.5915933978581007,1.9511821046315605
6H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,1,323,4442,N_GE_100,0.5851393188854489,0.5307136342237292,0.6375635985397868,0.5261143628995948,0.05902495598585411,0.11219035279810186,0.0017507418979401364,0.0033631720022253564,-0.0012080987323765816,0.004571518866379912,1.9491301981224558,1.5068112315818782,1.7660165103123606,2.1448361010787074,2.1897426479560695,1.3361170437251406,1.8946137244966468,2.52179982437816,0.515526897002358,0.46095999967851065,0.47713768241492993,0.557977440393535,0.6089678805947578,0.4050576233708767,0.5375158562635554,0.6931214090221374
6H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,3,323,4440,N_GE_100,0.5572755417956656,0.502747706533445,0.6104569773256475,0.5301801801801802,0.027095361615485425,0.05110594969105997,0.00048546373642494636,0.004164012663161909,-0.004540075953207432,0.005408009609161629,3.173954813937448,2.46463648156156,2.894466129904541,3.4581013867973494,3.8952478276821334,2.488549172914775,3.3736505741546887,4.498818211085162,0.876174532669723,0.7269220319293409,0.8080020958723769,0.9529574238341252,1.064940487656615,0.7285183900044834,0.949336483275147,1.1955443533423915
6H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,5,323,4438,N_GE_100,0.541795665634675,0.48728464226929447,0.5953241810873406,0.5295178008111762,0.012277864823498796,0.02318687833476063,0.0007250865832008086,0.0044440609224662975,-0.005594013497897217,0.007088548727589493,3.9460489933603604,3.0161848579957895,3.6080807966611834,4.260054702949074,4.860494081829423,3.024017467248904,4.176109059912311,5.635491082538019,1.103139551075932,0.8700824856924895,1.0108129946480628,1.1992322712961487,1.3400999668001015,0.9038249288444669,1.1933931637603838,1.5113325067385879
6H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,10,323,4433,N_GE_100,0.5758513931888545,0.5213725732782561,0.6285471431837855,0.5436498984886081,0.03220149470024636,0.05923204398597193,0.008123237232767538,0.013657040018138611,-0.0008408765585625359,0.016180526256661776,5.682466758239321,4.599053024554579,5.189314032646035,6.18587110032869,6.472054812177775,3.9084268393704407,5.663460711939848,7.412099746490675,1.613797661291933,1.343935002377297,1.4606549774626312,1.773830124345676,1.785187512201711,1.2668854873505118,1.5834499924211451,2.0041658957505564
6H,VALIDATION,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,1,82,1500,N_30_99,0.4146341463414634,0.3141639024666607,0.522745008830426,0.49666666666666665,-0.08203252032520325,-0.16516614830577836,0.00258486810035191,0.0015611808658155812,-0.0007130970643560772,0.0061253663576074455,1.122039423448719,0.7994291964400633,0.8908085436273043,1.3822840118780344,1.6486718852920021,1.2121888133779422,1.3268877715359253,2.015671048383938,0.41718513043072974,0.338515922404088,0.3357727667951546,0.4982032513748221,0.7089545504747631,0.5045588932909295,0.5643671399174761,0.8819892804237077
6H,VALIDATION,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,3,82,1498,N_30_99,0.35365853658536583,0.2588541267448773,0.4615611497644142,0.5033377837116155,-0.1496792471262497,-0.29737335834896816,0.011084226207855931,0.007837718679555739,0.004953702871657245,0.01704422166192699,1.8992550520452842,1.432558315812992,1.5121772002832332,2.3621975053171487,3.0439622482525004,2.2107069044332306,2.4448595128318322,3.635037270717906,0.7325586670448436,0.5936050065719407,0.6077067345771662,0.8719657985950284,1.2435798901530346,0.8767736503907638,1.0072503769787517,1.4905323580299112
6H,VALIDATION,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,5,82,1496,N_30_99,0.43902439024390244,0.33673363578460386,0.546772729427601,0.4979946524064171,-0.058970262162514664,-0.11841545261090192,0.008372581091190361,0.004009197040597101,0.0008484740220293282,0.01694287726379148,2.3721197839554713,1.945158857834533,1.8736998344734412,2.8633442178643036,3.8345802555091923,2.855708231590091,3.1133965658875775,4.607880053405883,0.9259449097139163,0.6469442142402207,0.7585140862025033,1.122666114984581,1.5274900636274686,1.162698931952393,1.2684484739205575,1.820573164036309
6H,VALIDATION,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,10,82,1491,N_30_99,0.36585365853658536,0.26978466322708194,0.4739293402397686,0.4922870556673374,-0.12643339713075202,-0.25682860370838045,0.021128050874261315,0.01237929994805742,0.008875517549278773,0.03271195893241948,2.9537476795159083,2.3794422203294867,2.347685013750568,3.6638622727666723,5.890828722529005,4.198849175815516,4.7023895497539545,7.1577529548354075,1.1706186916519383,1.1018099280647606,0.9714576702944246,1.4097868073642787,2.4990706100303064,1.8197354474195127,1.9989743656887338,3.0532685267092563
6H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,COMMON_ELIGIBILITY,1,124,1500,N_GE_100,0.47580645161290325,0.3899577057750623,0.5631092145388261,0.49666666666666665,-0.020860215053763398,-0.04200043299415446,0.0028179522892406187,0.0007218878963072273,-0.0011926871225489953,0.006913299607912069,1.1446210736159703,0.731988060802734,0.8976604688624257,1.427267016211574,1.6295878590504032,1.0814513697298302,1.332208959056331,1.9460816054333903,0.41964666945442763,0.31826671928746686,0.3474816483107539,0.5008320891136767,0.6484506712026425,0.4207968858653107,0.5202284432599159,0.8083607189232345
