timeframe,split,direction,control_id,event_semantics,comparison_scope,horizon,event_count,base_sample_count,sample_flag,reversal_rate,reversal_wilson_lo,reversal_wilson_hi,base_rate,absolute_lift,relative_lift,forward_return_mean,forward_return_median,forward_return_mean_ci_lo,forward_return_mean_ci_hi,mfe_pct_mean,mfe_pct_median,mfe_pct_mean_ci_lo,mfe_pct_mean_ci_hi,mae_pct_mean,mae_pct_median,mae_pct_mean_ci_lo,mae_pct_mean_ci_hi,mfe_atr_mean,mfe_atr_median,mfe_atr_mean_ci_lo,mfe_atr_mean_ci_hi,mae_atr_mean,mae_atr_median,mae_atr_mean_ci_lo,mae_atr_mean_ci_hi
15m,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,5,2823,35948,N_GE_100,0.5501239815798795,0.5317164679566364,0.5683952609778746,0.5025036163347056,0.04762036524517388,0.09476621400761243,-0.00012151445435395863,0.00047962908683940597,-0.0004579847826701307,0.00020187942447343838,0.5687070023530142,0.36255479023168213,0.5419793421261767,0.5955699559206589,0.6801231591480518,0.3805835983958019,0.6479763151184326,0.71167771118612,1.2223280450486689,0.9214412684247753,1.176706041462373,1.2604497939136623,1.5131813131262741,0.987035068366876,1.4483070462385002,1.577372689758646
15m,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,10,2823,35943,N_GE_100,0.5363088912504428,0.5178760238244264,0.5546430731069332,0.4997078707954261,0.036601020455016675,0.07324483482070399,-0.00024575195932373856,0.0005778333623569498,-0.0007454538187129118,0.00021438545549821734,0.8203374775523024,0.5180776880684835,0.7855297702760865,0.8598818376579047,0.9578442428458995,0.549590351636041,0.916952276054302,1.0009712614523352,1.7852393651834697,1.2738173447298056,1.7231648942180973,1.853616307109666,2.144229703084947,1.4423852388907488,2.063028612704045,2.2333957824019257
1D,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,1,90,1124,N_30_99,0.4888888888888889,0.3882031497910542,0.5904843406183163,0.46441281138790036,0.024476077500988513,0.052703277990634234,0.003811252643670895,0.0010650226930010165,-0.006730526902141101,0.016195596868119957,4.3010824156640695,3.4676613325327112,3.561873067078716,5.163749829538003,4.266063837845874,2.8284821907757918,3.3845416303847258,5.204173597167213,0.7149565780390578,0.5471632902374676,0.5984568908528504,0.8369494494440121,0.7622297591693394,0.46008130034940176,0.5862627695996516,0.9406775570009133
1D,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,3,90,1122,N_30_99,0.43333333333333335,0.33576405263265097,0.5363608898235731,0.45276292335115864,-0.019429590017825293,-0.04291338582677162,0.017089833556527927,0.007676780506301939,-0.0016932198033772503,0.03859894275573632,6.517624564572134,5.325678497822935,5.3793209500038754,7.7902428536414305,7.617842051785268,5.31723974764996,6.015864463789111,9.175687859420878,1.0562112732311166,0.8838203960557819,0.8902082124793128,1.2288190695580354,1.3781623655769268,0.8530467086303732,1.0797829125701128,1.693777051312721
1D,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,5,90,1120,N_30_99,0.5222222222222223,0.4202438257848399,0.6223811933964188,0.4455357142857143,0.07668650793650794,0.17212202182142056,0.010559761347118208,-0.005004275839871675,-0.014615674103420209,0.0375637193163453,9.062389904787397,7.402156826150129,7.4648925109959565,10.940485953135276,9.967975243877104,7.38556256458185,7.9010450305379,11.991620131825245,1.4881904861260495,1.2313467063685317,1.223907414305613,1.795835697008372,1.8286743428990497,1.2290889657263326,1.3927168473482459,2.2449963069098504
1D,DISCOVERY,OB,ATR_1X_PRICE_BAND_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,10,90,1115,N_30_99,0.4111111111111111,0.3151304105521081,0.5143695127228572,0.4260089686098655,-0.014897857498754385,-0.03497076023391821,0.04858932849926287,0.0110616442207917,0.0119993939310372,0.08763976434312756,11.129257985452618,9.527781145412193,9.404776762332359,13.240478891515837,15.205849109808554,9.293043956409964,12.076167902311784,18.712334467519103,1.8566956186525156,1.4231065745833278,1.556246405474685,2.2051753910085576,2.7729177660340816,1.5610267514686562,2.107723336045155,3.4544627883404426
1D,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,1,117,1124,N_GE_100,0.49572649572649574,0.40671622435748067,0.5850084797179371,0.46441281138790036,0.03131368433859538,0.06742640075973405,0.0049458710046262335,4.113025953200733e-05,-0.004349951780693689,0.013937697977591368,3.5515269652889234,2.9116979823155313,3.0560558271557707,4.066904796920871,3.7626570292665544,2.587779928117228,3.065298210778163,4.620836197395,0.5258498409813197,0.45211802272301077,0.4508666703038492,0.5999698843145053,0.6040053883304021,0.39269538488510053,0.49229371170890723,0.738247858490715
1D,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,3,117,1122,N_GE_100,0.42735042735042733,0.3414265447745581,0.5178934245075434,0.45276292335115864,-0.02541249600073131,-0.05612759943468604,0.019120801737730096,0.014780443281400713,0.003548231862402614,0.034760455921036215,5.4723486115213165,4.310367131510173,4.740212183494033,6.2588315124415255,7.017212957965585,5.38050883558768,5.948376726575747,8.32221225926307,0.8000403424784968,0.6812275034744675,0.6845078138773109,0.9117720210752169,1.1682826299171458,0.7647769270969074,0.9548563939216266,1.4062472993069128
1D,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,5,117,1120,N_GE_100,0.39316239316239315,0.3094022423100855,0.48371535957535794,0.4455357142857143,-0.05237332112332116,-0.11755134200023987,0.028891971858233494,0.02160246885358319,0.009754687115874744,0.048721434518465785,6.989268467019386,5.582397934427494,5.972438916910668,7.964022482997096,9.335086231908491,7.574183674601027,7.969435596942514,10.865598098188299,1.0268552723310183,0.8925077644655842,0.878624166195633,1.1962211421437314,1.564539308871166,0.9966308997212948,1.27006485258655,1.8808775911451638
1D,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,FORECAST_REALIZATION,NATIVE_AVAILABILITY,10,117,1115,N_GE_100,0.4017094017094017,0.3173685049510957,0.49229968878351227,0.4260089686098655,-0.024299566900463754,-0.05704003598740437,0.03966042814693207,0.035913837617047584,0.008593830772150195,0.07044944168429758,9.96832381533956,6.780952556885091,8.448439864481,11.694703293264386,14.442222622112334,11.447590206553718,12.160963566334365,16.881254487076504,1.526007855301716,1.1095353121304123,1.2622624896896635,1.8210873418042026,2.404677258019869,1.6750272717557784,1.978154413428635,2.9118519291998126
