candidate_id,family,DISC_PRECISION,VAL_PRECISION,DISC_RECALL,VAL_RECALL,DISC_FPR,VAL_FPR,precision_ratio,recall_ratio,precision_delta,recall_delta,abs_precision_delta
IND_DMA_3X3_V1_PRICE_CROSS_UP_DMA_15m,DMA,0.07892464866420452,0.08925049309664694,0.620826259196378,0.6103082851637764,0.4312916686651638,0.3708791208791209,1.130831680687932,0.9830581038143965,0.010325844432442416,-0.010517974032601574,0.010325844432442416
PRICE_SHORT_TERM_SLOPE_SIGN_CHANGE_15m,PRICE_ONLY,0.08600763459260234,0.0973890137134888,0.6162988115449916,0.6054913294797688,0.4335132289061472,0.3709614937630743,1.1323298701888191,0.9824638927371454,0.011381379120886465,-0.010807482065222751,0.011381379120886465
IND_RSI_14_V1_RSI_CROSS_UP_50_5m,RSI,0.07295898626426775,0.0844807802639128,0.5691378985097152,0.5674373795761078,0.6423147610756432,0.586201950659782,1.1579215198784627,0.9970121143960714,0.01152179399964505,-0.0017005189336073423,0.01152179399964505
IND_DMA_25X5_V1_PRICE_CROSS_UP_DMA_5m,DMA,0.08119612642332659,0.0931333859510655,0.5757404263346538,0.5684007707129094,0.644567415132489,0.595501183898974,1.147017598666006,0.9872517973621011,0.011937259527738914,-0.007339655621744434,0.011937259527738914
IND_DMA_25X5_V1_PRICE_CROSS_UP_DMA_4H,DMA,0.7585669781931464,0.7711442786069652,0.09186945859271836,0.07466281310211946,0.01557632398753894,0.0,1.0165803426399829,0.8127054871752264,0.01257730041381877,-0.0172066454905989,0.01257730041381877
IND_DMA_7X5_V1_PRICE_CROSS_UP_DMA_15m,DMA,0.12102038364502823,0.1369490724329434,0.5700811167704207,0.5582851637764933,0.43029914701053223,0.3661822048918823,1.1316198834291957,0.9793082902644575,0.015928688787915174,-0.011795952993927439,0.015928688787915174
IND_MACD_12_26_9_V1_MACD_CROSS_UP_SIGNAL_4H,MACD,0.7875939849624061,0.803680981595092,0.07904169024712318,0.06310211946050097,0.011278195488721804,0.0,1.0204254945312385,0.7983397022914455,0.01608699663268598,-0.015939570786622212,0.01608699663268598
IND_MACD_12_26_9_V1_HISTOGRAM_CROSS_UP_ZERO_4H,MACD,0.7875939849624061,0.803680981595092,0.07904169024712318,0.06310211946050097,0.011278195488721804,0.0,1.0204254945312385,0.7983397022914455,0.01608699663268598,-0.015939570786622212,0.01608699663268598
IND_STOCH_14_3_3_V1_K_CROSS_UP_D_15m,STOCHASTIC,0.12034188034188034,0.13654021937842778,0.597623089983022,0.575626204238921,0.43810066476733145,0.3726005484460695,1.134602675232674,0.96319271107024,0.016198339036547438,-0.02199688574410108,0.016198339036547438
IND_MACD_12_26_9_V1_HISTOGRAM_CROSS_UP_ZERO_5m,MACD,0.11825133235498571,0.13581675150393335,0.5776268628560649,0.5655105973025049,0.6462114775623696,0.5978713558537714,1.1485430971400556,0.9790240614959432,0.017565419148947645,-0.012116265553560046,0.017565419148947645
IND_MACD_12_26_9_V1_MACD_CROSS_UP_SIGNAL_5m,MACD,0.11825133235498571,0.13581675150393335,0.5776268628560649,0.5655105973025049,0.6462114775623696,0.5978713558537714,1.1485430971400556,0.9790240614959432,0.017565419148947645,-0.012116265553560046,0.017565419148947645
PRICE_N3_BAR_EXTREME_BREAK_15m,PRICE_ONLY,0.09097603427500335,0.11078379800105208,0.5127334465195246,0.5072254335260116,0.45538224661936,0.3721199368753288,1.2177250732448242,0.9892575508172876,0.019807763726048727,-0.005508012993513001,0.019807763726048727
IND_ADX_14_V1_DI_CROSS_UP_4H,MA/DMI,0.7529411764705882,0.7734806629834254,0.0724391624221845,0.0674373795761079,0.013725490196078431,0.0055248618784530384,1.027279005524862,0.9309519508670521,0.020539486512837213,-0.005001782846076594,0.020539486512837213
IND_STOCH_14_3_3_V1_K_CROSS_UP_D_4H,STOCHASTIC,0.6927272727272727,0.7171903881700554,0.21561969439728354,0.18689788053949905,0.016363636363636365,0.0036968576709796672,1.035314208644437,0.8667941073839759,0.02446311544278268,-0.028721813857784495,0.02446311544278268
IND_RSI_14_V1_RSI_CROSS_UP_50_4H,RSI,0.7762128325508607,0.7510729613733905,0.0935672514619883,0.08429672447013488,0.012519561815336464,0.0,0.9676121417693478,0.9009212427745665,-0.025139871177470186,-0.00927052699185342,0.025139871177470186
