family,feature_set,horizon_minutes,weighted_log_loss,weighted_brier,weighted_ece,weighted_delta_logloss,weighted_delta_brier,improved_folds,support_class
LOGISTIC_L2,FS_DENSE,240,0.7397510838546565,0.26649840485110604,0.07214723696406884,0.04664149083319255,0.016517357936060517,0.0,NOT_SUPPORTED
LOGISTIC_L2,FS_DENSE,480,0.7951507053443971,0.2789327377983878,0.09959258816556744,0.10185475445628431,0.028858853593186004,0.0,NOT_SUPPORTED
LOGISTIC_L2,FS_DENSE,720,0.8429577578420968,0.28459885144063524,0.10956192611640474,0.14931779651979477,0.03435317016279151,0.0,NOT_SUPPORTED
LOGISTIC_L2,FS_DENSE,1440,1.0071253568177962,0.299011307733179,0.14099430353408757,0.3136915095072998,0.04887008193861757,0.0,NOT_SUPPORTED
LOGISTIC_L2,FS_DENSE_ATOMIC,30,0.6989169339430256,0.25230982754940434,0.030717810641161768,0.005775552038579801,0.0023127278432371174,1.0,NOT_SUPPORTED
LOGISTIC_L2,FS_DENSE_ATOMIC,60,0.7061256983697436,0.2553136126794614,0.03907109294983313,0.012905233421946872,0.0052769748716296,1.0,NOT_SUPPORTED
LOGISTIC_L2,FS_DENSE_ATOMIC,120,0.7121097480152969,0.2576533547141242,0.04736361990917958,0.019014992715635847,0.0076795833553019695,1.0,NOT_SUPPORTED
LOGISTIC_L2,FS_DENSE_ATOMIC,240,0.7360667130286231,0.26565612454227966,0.07413488933808275,0.04295712000715923,0.015675077627234146,1.0,NOT_SUPPORTED
LOGISTIC_L2,FS_DENSE_ATOMIC,480,0.7959176850498261,0.2792208638441695,0.10151679344120787,0.10262173416171327,0.029146979638967743,0.0,NOT_SUPPORTED
LOGISTIC_L2,FS_DENSE_ATOMIC,720,0.8509304828681176,0.28566523625370527,0.11350077782340108,0.15729052154581558,0.035419554975861536,0.0,NOT_SUPPORTED
LOGISTIC_L2,FS_DENSE_ATOMIC,1440,1.0005990125084827,0.2992290594287905,0.14073070596418363,0.30716516519798615,0.049087833634229035,0.0,NOT_SUPPORTED
LOGISTIC_L2,FS_DENSE_COMPOSITE,30,0.7653271392280664,0.273332602215265,0.1002791514432073,0.0721857573236206,0.023335502509097803,0.0,NOT_SUPPORTED
LOGISTIC_L2,FS_DENSE_COMPOSITE,60,0.7736456776413069,0.27574713288841335,0.10622454064523282,0.08042521269351002,0.025710495080581534,0.0,NOT_SUPPORTED
LOGISTIC_L2,FS_DENSE_COMPOSITE,120,0.7862582991587406,0.2795398200678854,0.11315104895355836,0.09316354385907956,0.02956604870906314,0.0,NOT_SUPPORTED
LOGISTIC_L2,FS_DENSE_COMPOSITE,240,0.8108663512017589,0.28532043597251394,0.13078165632753977,0.11775675818029488,0.03533938905746846,0.0,NOT_SUPPORTED
LOGISTIC_L2,FS_DENSE_COMPOSITE,480,0.8696099104533183,0.2954796477570261,0.14747238282662228,0.17631395956520532,0.04540576355182442,0.0,NOT_SUPPORTED
LOGISTIC_L2,FS_DENSE_COMPOSITE,720,0.9368939005682162,0.30231466095588816,0.1595633669180656,0.24325393924591412,0.05206897967804442,0.0,NOT_SUPPORTED
LOGISTIC_L2,FS_DENSE_COMPOSITE,1440,1.0985100973426398,0.31430621767206735,0.179418485808429,0.4050762500321431,0.06416499187750582,0.0,NOT_SUPPORTED
LOGISTIC_L2,FS_FULL,30,0.7746834404256878,0.27567387848159725,0.10546856171761311,0.08154205852124215,0.025676778775430058,0.0,NOT_SUPPORTED
LOGISTIC_L2,FS_FULL,60,0.7819296171223717,0.2777776473017432,0.10885355758011449,0.08870915217457495,0.02774100949391143,0.0,NOT_SUPPORTED
LOGISTIC_L2,FS_FULL,120,0.7954550693303574,0.2814858412477778,0.1162528885503197,0.10236031403069643,0.031512069888955545,0.0,NOT_SUPPORTED
LOGISTIC_L2,FS_FULL,240,0.8164920161692139,0.2862917049833653,0.1326118143696283,0.12338242314774987,0.036310658068319804,0.0,NOT_SUPPORTED
LOGISTIC_L2,FS_FULL,480,0.8773417357519129,0.2966188336549654,0.1509879972433366,0.18404578486379997,0.04654494944976372,0.0,NOT_SUPPORTED
LOGISTIC_L2,FS_FULL,720,0.9489511482004213,0.30360185857415894,0.1611413108378542,0.2553111868781193,0.053356177296315206,0.0,NOT_SUPPORTED
LOGISTIC_L2,FS_FULL,1440,1.1086391311196306,0.3152037859580772,0.1817665413347456,0.41520528380913413,0.06506256016351576,0.0,NOT_SUPPORTED
