timeframe,split,direction,horizon,event_semantics,dynamic_event_count,dynamic_reversal_rate,dynamic_absolute_lift,dynamic_minus_quantile_lift,dynamic_minus_quantile_reversal_rate,vs_quantile_class,dynamic_minus_atr_lift,dynamic_minus_atr_reversal_rate,vs_atr_class
1H,DISCOVERY,OB,1,FORECAST_REALIZATION,2145,0.5286713286713287,0.03742171246009135,-0.016089811433046997,-0.016089811433046997,WORSE,0.02463611223699269,0.02463611223699269,BETTER
1H,DISCOVERY,OB,3,FORECAST_REALIZATION,2145,0.531934731934732,0.04840053373100123,-0.0068047301286964235,-0.0068047301286964235,SIMILAR,0.023497461208393022,0.023497461208393022,BETTER
1H,DISCOVERY,OB,5,FORECAST_REALIZATION,2145,0.5272727272727272,0.046196418352106916,-0.007452282763402818,-0.007452282763402818,SIMILAR,0.031307943707063246,0.031307943707063246,BETTER
1H,DISCOVERY,OB,10,FORECAST_REALIZATION,2145,0.49696969696969695,0.017490294351353186,0.012826782477525112,0.012826782477525112,BETTER,0.04355810489339468,0.04355810489339468,BETTER
1H,DISCOVERY,OS,1,FORECAST_REALIZATION,2047,0.5593551538837322,0.05294588154722624,-0.005554366179210346,-0.005554366179210346,SIMILAR,0.004823663868371297,0.004823663868371297,SIMILAR
1H,DISCOVERY,OS,3,FORECAST_REALIZATION,2047,0.5666829506595017,0.05136860353430017,-0.0013736976489169272,-0.0013736976489169272,SIMILAR,0.002166821627243576,0.002166821627243576,SIMILAR
1H,DISCOVERY,OS,5,FORECAST_REALIZATION,2046,0.5679374389051809,0.04985821274212243,0.009102334615531116,0.009102334615531116,SIMILAR,0.003421309872922773,0.003421309872922773,SIMILAR
1H,DISCOVERY,OS,10,FORECAST_REALIZATION,2046,0.5434995112414467,0.02393871729204755,0.0021609285642812948,0.0021609285642812948,SIMILAR,0.003560955173858349,0.003560955173858349,SIMILAR
1H,VALIDATION,OB,1,FORECAST_REALIZATION,661,0.5537065052950075,0.05001853032853454,-0.03645742913122196,-0.03645742913122196,WORSE,-0.003371120275768691,-0.003371120275768691,SIMILAR
1H,VALIDATION,OB,3,FORECAST_REALIZATION,661,0.5431164901664145,0.047252416837552436,0.00969908789655316,0.00969908789655316,SIMILAR,0.004303704778286677,0.004303704778286677,SIMILAR
1H,VALIDATION,OB,5,FORECAST_REALIZATION,661,0.5143721633888049,0.015266617771631352,-0.00517386435394418,-0.00517386435394418,SIMILAR,-0.010741991862336708,-0.010741991862336708,WORSE
1H,VALIDATION,OB,10,FORECAST_REALIZATION,660,0.5212121212121212,0.009186167526026634,0.0003524499099720746,0.0003524499099720746,SIMILAR,0.012079701120797037,0.012079701120797037,BETTER
1H,VALIDATION,OS,1,FORECAST_REALIZATION,692,0.5505780346820809,0.054936550551548946,-0.016659129132099992,-0.016659129132099992,WORSE,0.00035969407072722337,0.00035969407072722337,SIMILAR
1H,VALIDATION,OS,3,FORECAST_REALIZATION,692,0.5635838150289018,0.0598950155654544,0.009116250769415801,0.009116250769415801,SIMILAR,0.0046318499633996035,0.0046318499633996035,SIMILAR
1H,VALIDATION,OS,5,FORECAST_REALIZATION,692,0.5635838150289018,0.06347200823104848,0.0017723095209458695,0.0017723095209458695,SIMILAR,-0.0041017744907488884,-0.0041017744907488884,SIMILAR
1H,VALIDATION,OS,10,FORECAST_REALIZATION,692,0.5303468208092486,0.04259651316857288,-0.0045369001209839555,-0.0045369001209839555,SIMILAR,-0.015504707575030974,-0.015504707575030974,WORSE
2H,DISCOVERY,OB,1,FORECAST_REALIZATION,1082,0.5582255083179297,0.07107380553155201,0.01499549200471606,0.01499549200471606,BETTER,0.06306644884351753,0.06306644884351753,BETTER
2H,DISCOVERY,OB,3,FORECAST_REALIZATION,1082,0.5175600739371534,0.03954490130981175,0.006140824344983753,0.006140824344983753,SIMILAR,0.04176477656509259,0.04176477656509259,BETTER
2H,DISCOVERY,OB,5,FORECAST_REALIZATION,1082,0.4879852125693161,0.010128290921747163,0.0018514442169506595,0.0018514442169506595,SIMILAR,0.035703054892967545,0.035703054892967545,BETTER
2H,DISCOVERY,OB,10,FORECAST_REALIZATION,1082,0.46210720887245843,-0.011442477441537369,-0.01217850541325588,-0.01217850541325588,WORSE,0.00982505119610988,0.00982505119610988,SIMILAR
2H,DISCOVERY,OS,1,FORECAST_REALIZATION,1047,0.5549188156638013,0.04338630792386322,-0.014395826080746965,-0.014395826080746965,WORSE,0.002096818558157354,0.002096818558157354,SIMILAR
2H,DISCOVERY,OS,3,FORECAST_REALIZATION,1046,0.5468451242829828,0.025711821914195077,0.014134843909151096,0.014134843909151096,BETTER,0.0012590171918106519,0.0012590171918106519,SIMILAR
2H,DISCOVERY,OS,5,FORECAST_REALIZATION,1046,0.5458891013384322,0.024675103196592607,-0.007849216418577165,-0.007849216418577165,SIMILAR,0.007538884261731771,0.007538884261731771,SIMILAR
2H,DISCOVERY,OS,10,FORECAST_REALIZATION,1046,0.5468451242829828,0.020859530603174914,0.002452600918496861,0.002452600918496861,SIMILAR,-0.003082516816872438,-0.003082516816872438,SIMILAR
2H,VALIDATION,OB,1,FORECAST_REALIZATION,343,0.5131195335276968,0.021786200194363448,-0.02277790236973909,-0.02277790236973909,WORSE,-0.041047133138969905,-0.041047133138969905,WORSE
