timeframe,split,direction,control_id,event_semantics,horizon,event_count,sample_flag,reversal_rate,reversal_wilson_lo,reversal_wilson_hi,base_rate,absolute_lift,relative_lift,forward_return_mean,forward_return_median,forward_return_mean_ci_lo,forward_return_mean_ci_hi,mfe_mean,mfe_median,mfe_mean_ci_lo,mfe_mean_ci_hi,mae_mean,mae_median,mae_mean_ci_lo,mae_mean_ci_hi
5m,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,5,21756,N_GE_100,0.537001287001287,0.5303694481182234,0.5436200610701155,0.4941898890105901,0.04281139799069694,0.08662944941348139,-7.70618856879785e-05,-0.0003574538840195318,-0.00016490439401577187,2.032461725279176e-05,0.6483276288225318,0.42164035340251715,0.6373116052177307,0.658359537039728,0.6338674223935481,0.3918566870702105,0.6229950627765152,0.6448773183233292
5m,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,10,21756,N_GE_100,0.5222927008641295,0.5156518510437732,0.528925679336779,0.4919603572071317,0.030332343656997773,0.0616560729185478,-1.1046104029981536e-05,-0.0003131248974073131,-0.00013867646974023107,0.00012386774176426102,0.6483276288225318,0.42164035340251715,0.6373116052177307,0.658359537039728,0.6338674223935481,0.3918566870702105,0.6229950627765152,0.6448773183233292
5m,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,1,19542,N_GE_100,0.5361784873605567,0.5291800556929572,0.5431626977651492,0.4952635383990046,0.04091494896155212,0.08261247959786089,1.4302113062727613e-05,-0.00016566295314901502,-2.877681039259887e-05,5.564153528813182e-05,0.6360855677364449,0.41425180654747484,0.6244010237443214,0.6470914111937366,0.6403835214941884,0.3951422043982973,0.6290048291717791,0.6525049943957928
5m,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,3,19542,N_GE_100,0.52630232320131,0.5192971660201658,0.5332971413029836,0.4940192686597266,0.03228305454158337,0.0653477639225839,6.489675390184969e-05,-0.00020165068982791468,-8.859853348538724e-06,0.00014070654192846317,0.6360855677364449,0.41425180654747484,0.6244010237443214,0.6470914111937366,0.6403835214941884,0.3951422043982973,0.6290048291717791,0.6525049943957928
5m,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,5,19542,N_GE_100,0.5315218503735544,0.5245199049035515,0.538511405040145,0.4941898890105901,0.037331961362964294,0.07554173444888979,3.850624021464793e-06,-0.0003104028171970197,-9.122514380822388e-05,9.416386651310313e-05,0.6360855677364449,0.41425180654747484,0.6244010237443214,0.6470914111937366,0.6403835214941884,0.3951422043982973,0.6290048291717791,0.6525049943957928
5m,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,10,19542,N_GE_100,0.5168355337222392,0.5098265075149135,0.5238379421141062,0.4919603572071317,0.02487517651510751,0.050563375992985105,0.0001291373729576677,-0.00023708464770749726,-1.3699144448551143e-05,0.0002614397896436687,0.6360855677364449,0.41425180654747484,0.6244010237443214,0.6470914111937366,0.6403835214941884,0.3951422043982973,0.6290048291717791,0.6525049943957928
5m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,1,22859,N_GE_100,0.5401811102847893,0.5337140346364646,0.5466346828212987,0.4971283359241918,0.04305277436059751,0.08660293781194306,4.593945424588544e-05,0.00019090735538762615,-3.4655166378731485e-06,8.757222124433352e-05,0.6414365904584658,0.4342153545072768,0.6318614682204721,0.6511690320917741,0.7043684915016623,0.41903226478947436,0.6913347748147759,0.7176597787514827
5m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,3,22858,N_GE_100,0.5469857380348236,0.5405250943979286,0.5534305911317968,0.5016894984253067,0.0452962396095169,0.09028739838424338,0.00013997155628023535,0.00036536899514927335,6.475030056931007e-05,0.0002154277084426518,0.6414598363903249,0.4342453490192645,0.6319644869410971,0.6505120139968122,0.7043957373481536,0.4191118738371026,0.6905922082164682,0.7165663169903744
5m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,5,22858,N_GE_100,0.5538542304663575,0.5474014556820753,0.5602889064101894,0.5026389849914517,0.05121524547490586,0.10189270431496045,0.000271979841187614,0.0005308464690280124,0.00018113867876754202,0.0003622910197631497,0.6414598363903249,0.4342453490192645,0.6319644869410971,0.6505120139968122,0.7043957373481536,0.4191118738371026,0.6905922082164682,0.7165663169903744
5m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,10,22857,N_GE_100,0.5393533709585685,0.5328852952470504,0.5458082205682204,0.5057000477848317,0.033653323173736815,0.06654799286879998,0.00032736326119647103,0.0005455360216135574,0.00019714844597449935,0.00046587167977370735,0.6414865366925357,0.43427534353125224,0.6318091736906999,0.651301392646147,0.7044112127676686,0.41919148288473074,0.6902514081586822,0.7171680255789405
5m,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,1,19368,N_GE_100,0.546416769929781,0.5393968632786079,0.5534182669049881,0.4971283359241918,0.04928843400558924,0.09914629773408312,8.005024858844233e-05,0.00020802995731405982,3.075849917306566e-05,0.00013097326594544922,0.6364805652023247,0.43082666947958764,0.6275113367166011,0.6465336150427786,0.7072730683025322,0.4182423142287147,0.6928509926998175,0.7218773602401103
5m,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,3,19368,N_GE_100,0.5438868236266006,0.5368641888532866,0.5508920521434393,0.5016894984253067,0.04219732520129382,0.08411044148570368,0.0001228014185731222,0.00035019220469767465,4.047424508878362e-05,0.00020312211853262393,0.6364805652023247,0.43082666947958764,0.6275113367166011,0.6465336150427786,0.7072730683025322,0.4182423142287147,0.6928509926998175,0.7218773602401103
5m,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,5,19368,N_GE_100,0.5499277158199092,0.5429118977079781,0.5569237317553561,0.5026389849914517,0.047288730828457526,0.09408090546192271,0.0002579090034000589,0.00047346121103608585,0.00015215313753170928,0.0003619076338242366,0.6364805652023247,0.43082666947958764,0.6275113367166011,0.6465336150427786,0.7072730683025322,0.4182423142287147,0.6928509926998175,0.7218773602401103
5m,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,10,19368,N_GE_100,0.5384138785625775,0.5313859656909765,0.5454265558402753,0.5057000477848317,0.03271383077774581,0.0646901872385528,0.0003180955562734591,0.0005318989853840828,0.00017182003628424017,0.0004589318244028568,0.6364805652023247,0.43082666947958764,0.6275113367166011,0.6465336150427786,0.7072730683025322,0.4182423142287147,0.6928509926998175,0.7218773602401103
5m,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,1,7315,N_GE_100,0.5468215994531784,0.5353920744489146,0.5582019719094601,0.49880953483847656,0.048012064614701866,0.09625330163395729,3.404337754504668e-05,-0.00014378504760526045,-3.9879659144543345e-05,9.93502842352564e-05,0.45875809256729916,0.2786476640889709,0.44740238052104203,0.47179920275098114,0.504740294072182,0.2773978098564187,0.48731674242607714,0.5213043683861447
5m,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,3,7315,N_GE_100,0.5406698564593302,0.5292311882591318,0.5520658301105512,0.4977440962024847,0.04292576025684547,0.08624062160524959,0.00010523699138762517,-0.00019217908015400909,-3.901275574361028e-06,0.00020626051279412739,0.45875809256729916,0.2786476640889709,0.44740238052104203,0.47179920275098114,0.504740294072182,0.2773978098564187,0.48731674242607714,0.5213043683861447
5m,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,5,7315,N_GE_100,0.5352016404647983,0.5237563147284434,0.546610012095736,0.4973456738653103,0.03785596659948803,0.07611600661020335,7.601517166945107e-05,-0.000199433374588609,-4.440301283207554e-05,0.0002101183241244435,0.45875809256729916,0.2786476640889709,0.44740238052104203,0.47179920275098114,0.504740294072182,0.2773978098564187,0.48731674242607714,0.5213043683861447
5m,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,10,7315,N_GE_100,0.5233082706766917,0.5118532246025765,0.5347388481101326,0.49646073453656003,0.02684753614013169,0.05407786411385285,0.00015259667371577925,-0.00020559797600205876,-2.3434695155072924e-06,0.000329245382599872,0.45875809256729916,0.2786476640889709,0.44740238052104203,0.47179920275098114,0.504740294072182,0.2773978098564187,0.48731674242607714,0.5213043683861447
5m,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,1,6275,N_GE_100,0.5555378486055776,0.5432127281613045,0.5677950093168952,0.49880953483847656,0.05672831376710108,0.11372740456028119,3.5060874969176346e-06,-0.00016435554365157312,-6.592999524726276e-05,7.553211504796225e-05,0.4590388552231122,0.2799093852668051,0.4462962821007908,0.4738519272241754,0.49760354310477417,0.26936924923322864,0.47820969405144803,0.5151022810898748
5m,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,3,6275,N_GE_100,0.538804780876494,0.5264506937514509,0.5511113839413514,0.4977440962024847,0.04106068467400925,0.08249356443859379,9.713322687955467e-05,-0.00018948724750822432,-1.1203550937891434e-05,0.00021294275754371963,0.4590388552231122,0.2799093852668051,0.4462962821007908,0.4738519272241754,0.49760354310477417,0.26936924923322864,0.47820969405144803,0.5151022810898748
5m,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,5,6275,N_GE_100,0.5376892430278885,0.5253337228126331,0.5499986442278095,0.4973456738653103,0.04034356916257814,0.08111776432884765,2.2771054802794243e-05,-0.00021270835750486494,-0.00011546756540798121,0.0001630956529617907,0.4590388552231122,0.2799093852668051,0.4462962821007908,0.4738519272241754,0.49760354310477417,0.26936924923322864,0.47820969405144803,0.5151022810898748
5m,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,STATE_BAND_CROSS,10,6275,N_GE_100,0.5300398406374502,0.5176761635678041,0.5423667589993141,0.49646073453656003,0.03357910610089021,0.06763698267544949,0.00010075433102118513,-0.00025342391890426086,-9.666681290170206e-05,0.0003114278184426241,0.4590388552231122,0.2799093852668051,0.4462962821007908,0.4738519272241754,0.49760354310477417,0.26936924923322864,0.47820969405144803,0.5151022810898748
5m,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,1,7445,N_GE_100,0.5611820013431833,0.5498808742020117,0.5724200215506915,0.4980220676110097,0.0631599337321736,0.12682155639236847,1.909966257721928e-05,0.0001648299896392924,-4.587499869419709e-05,8.006576821272744e-05,0.4682029366348346,0.2834195690786814,0.4542983591757082,0.483367197904156,0.5073278416416604,0.2743157850539935,0.48954259895344576,0.5238998515206157
5m,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,3,7445,N_GE_100,0.554734721289456,0.5434198404823786,0.5659931452897985,0.5004771213370515,0.054257599952404534,0.10841174878774162,4.113958970190741e-05,0.00025766997629417254,-6.466022179713051e-05,0.00014590032808359837,0.4682029366348346,0.2834195690786814,0.4542983591757082,0.483367197904156,0.5073278416416604,0.2743157850539935,0.48954259895344576,0.5238998515206157
5m,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,STATE_BAND_CROSS,5,7445,N_GE_100,0.5500335795836132,0.5387098818802633,0.5613056695311133,0.5011441859603287,0.04888939362328448,0.09755554387925125,4.180448320457681e-05,0.00028846883777422505,-9.132443804841676e-05,0.000180319394086512,0.4682029366348346,0.2834195690786814,0.4542983591757082,0.483367197904156,0.5073278416416604,0.2743157850539935,0.48954259895344576,0.5238998515206157
