timeframe,split,direction,control_id,horizon,sample_count,sample_flag,reversal_rate_event,reversal_wilson_lo,reversal_wilson_hi
2H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,1187,N_GE_100,0.535804549283909,0.5073629756311026,0.564015115292157
2H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,1187,N_GE_100,0.5054759898904801,0.47706128196669206,0.5338553672333358
2H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,1187,N_GE_100,0.4793597304128054,0.45105170372043163,0.5078009262179246
2H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,1187,N_GE_100,0.44903117101937656,0.4209443103155299,0.4774468778995945
2H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,1220,N_GE_100,0.578688524590164,0.5507762574993128,0.6061067901107701
2H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,1220,N_GE_100,0.559016393442623,0.5310130988197906,0.5866491868877716
2H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,1220,N_GE_100,0.5663934426229508,0.5384190734763166,0.5939509979446909
2H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,1220,N_GE_100,0.5663934426229508,0.5384190734763166,0.5939509979446909
2H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,388,N_GE_100,0.5798969072164949,0.5302359964697958,0.6279912055424459
2H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,388,N_GE_100,0.5360824742268041,0.4863490579708681,0.5851083880991764
2H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,388,N_GE_100,0.5128865979381443,0.4632690643347344,0.5622514521188529
2H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,388,N_GE_100,0.4793814432989691,0.43011780720909604,0.5290493664651642
2H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,393,N_GE_100,0.5852417302798982,0.5359351074858899,0.6328979987207174
2H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,393,N_GE_100,0.5826972010178118,0.5333729790759091,0.6304203329155756
2H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,393,N_GE_100,0.5241730279898219,0.4748013860307125,0.5730766590129523
2H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,393,N_GE_100,0.5343511450381679,0.48493911590171196,0.5830981060024432
30m,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,4770,N_GE_100,0.5587002096436059,0.5445671961212153,0.5727387488435276
30m,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,4770,N_GE_100,0.5448637316561845,0.5307010123272425,0.5589542456100968
30m,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,4770,N_GE_100,0.5358490566037736,0.5216728996310679,0.5499675167581143
30m,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,4770,N_GE_100,0.5148846960167714,0.5006952164694848,0.5290502195751464
30m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,5186,N_GE_100,0.5815657539529503,0.5680840204613311,0.5949267350114371
30m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,5186,N_GE_100,0.5761666023910529,0.5626654189811381,0.5895550264366952
30m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,5186,N_GE_100,0.5780948708060162,0.5646004448829353,0.5914736826973747
30m,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,5186,N_GE_100,0.562475896644813,0.5489327358297456,0.5759265662345026
30m,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,1617,N_GE_100,0.5578231292517006,0.5335070424180849,0.5818651197969026
30m,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,1617,N_GE_100,0.5448361162646876,0.5204857081892178,0.5689739897849704
30m,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,1617,N_GE_100,0.525664811379097,0.5012940211630359,0.549913943884258
30m,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,1617,N_GE_100,0.5120593692022264,0.4876958775681138,0.5363656963697714
30m,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,1634,N_GE_100,0.6034271725826194,0.5794917591691493,0.6268774037584501
30m,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,1634,N_GE_100,0.5813953488372093,0.5573113731281537,0.6050974947379452
30m,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,1633,N_GE_100,0.580526638089406,0.5564303974913843,0.6042448932636894
30m,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,1632,N_GE_100,0.5680147058823529,0.5438495592910223,0.5918604018690313
4H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,619,N_GE_100,0.5266558966074314,0.487279121075168,0.5657038524449053
4H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,619,N_GE_100,0.4717285945072698,0.4326975392459733,0.5111083979297065
4H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,619,N_GE_100,0.45718901453957994,0.4183285159423903,0.4965776174950678
4H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,619,N_GE_100,0.4781906300484653,0.43909442652337477,0.5175558678692925
4H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,585,N_GE_100,0.576068376068376,0.5356535048084717,0.6154907078286788
