timeframe,split,direction,distance_bin,sample_count,sample_flag,next_close_hit_rate,next_close_hit_wilson_lo,next_close_hit_wilson_hi,next_intrabar_touch_rate
30m,VALIDATION,OB,0.00-0.25,2266,N_GE_100,0.43424536628420124,0.41396528220761336,0.45474802360191985,0.8667255075022066
30m,VALIDATION,OB,0.25-0.50,2531,N_GE_100,0.30699328328723824,0.28932723179924075,0.3252443453754434,0.5452390359541683
30m,VALIDATION,OB,0.50-0.75,2685,N_GE_100,0.1851024208566108,0.17086526074960895,0.2002393814874049,0.31359404096834265
30m,VALIDATION,OB,0.75-1.00,2698,N_GE_100,0.10600444773906598,0.09494317991192017,0.11818611678704252,0.1738324684951816
30m,VALIDATION,OB,1.00-1.50,4264,N_GE_100,0.06918386491557223,0.061948250819000565,0.0771950575924456,0.10647279549718575
30m,VALIDATION,OB,1.50-2.00,2220,N_GE_100,0.053603603603603604,0.04498169635533614,0.06376777572936629,0.07297297297297298
30m,VALIDATION,OB,>2.00,1290,N_GE_100,0.08372093023255814,0.06981440753799903,0.10009943662963325,0.09224806201550388
4H,DISCOVERY,OB,0.00-0.25,886,N_GE_100,0.45936794582392776,0.4267989498722327,0.4922877729782162,0.8882618510158014
4H,DISCOVERY,OB,0.25-0.50,984,N_GE_100,0.3516260162601626,0.32242147959055556,0.38198457093414406,0.5772357723577236
4H,DISCOVERY,OB,0.50-0.75,1055,N_GE_100,0.25308056872037915,0.22777283015703484,0.28018001189223873,0.3582938388625592
4H,DISCOVERY,OB,0.75-1.00,1017,N_GE_100,0.1592920353982301,0.13808861883900653,0.18305973561676803,0.20353982300884957
4H,DISCOVERY,OB,1.00-1.50,1481,N_GE_100,0.0837272113436867,0.07067469086458666,0.09893370372780622,0.10465901417960838
4H,DISCOVERY,OB,1.50-2.00,790,N_GE_100,0.04683544303797468,0.03416765012291901,0.06388919144345898,0.056962025316455694
4H,DISCOVERY,OB,>2.00,371,N_GE_100,0.03773584905660377,0.02260911844864875,0.0623376964192848,0.04043126684636118
4H,VALIDATION,OB,0.00-0.25,248,N_GE_100,0.38306451612903225,0.324780727960846,0.44491577968523,0.875
4H,VALIDATION,OB,0.25-0.50,291,N_GE_100,0.3127147766323024,0.26218063347036147,0.36812933635750555,0.5532646048109966
4H,VALIDATION,OB,0.50-0.75,341,N_GE_100,0.2873900293255132,0.2419350479191187,0.33758204050640767,0.39002932551319647
4H,VALIDATION,OB,0.75-1.00,281,N_GE_100,0.13523131672597866,0.10013339161965934,0.18016836205676995,0.20284697508896798
4H,VALIDATION,OB,1.00-1.50,589,N_GE_100,0.0831918505942275,0.06349791430474987,0.10828760142154194,0.11714770797962648
4H,VALIDATION,OB,1.50-2.00,308,N_GE_100,0.05844155844155844,0.037283023595249425,0.09047927623902541,0.07467532467532467
4H,VALIDATION,OB,>2.00,191,N_GE_100,0.031413612565445025,0.014474884658743605,0.0668301343926294,0.031413612565445025
5m,DISCOVERY,OB,0.00-0.25,41837,N_GE_100,0.45579271936324306,0.4510245425029282,0.4605690139708497,0.8541721442742071
5m,DISCOVERY,OB,0.25-0.50,43242,N_GE_100,0.3551870866287406,0.35068938391368143,0.3597105172874552,0.5917626381758475
5m,DISCOVERY,OB,0.50-0.75,44203,N_GE_100,0.2354591317331403,0.2315268445683866,0.23943739640557157,0.36802931927697213
5m,DISCOVERY,OB,0.75-1.00,43854,N_GE_100,0.14078533315090982,0.13756156301335082,0.14407203201518332,0.21359511105030327
5m,DISCOVERY,OB,1.00-1.50,76231,N_GE_100,0.06871220369665884,0.06693808716484644,0.07052978684199092,0.0976112080387244
5m,DISCOVERY,OB,1.50-2.00,46417,N_GE_100,0.03531033888446043,0.03366937901064217,0.03702821041005458,0.043970958915914425
5m,DISCOVERY,OB,>2.00,26504,N_GE_100,0.04131451856323574,0.03898422794633321,0.043777757473105854,0.04493661334138243
5m,VALIDATION,OB,0.00-0.25,13155,N_GE_100,0.4453059673128088,0.4368300514858101,0.4538138179563147,0.831927023945268
5m,VALIDATION,OB,0.25-0.50,13487,N_GE_100,0.34766812486097726,0.3396751380287299,0.35574786656721763,0.5724030547935048
5m,VALIDATION,OB,0.50-0.75,13887,N_GE_100,0.23107942680204507,0.2241434821739229,0.23816411479701946,0.36048102541945704
5m,VALIDATION,OB,0.75-1.00,14043,N_GE_100,0.1456953642384106,0.13995705966050587,0.15162746279897715,0.22089297158726767
5m,VALIDATION,OB,1.00-1.50,25525,N_GE_100,0.07396669931439764,0.07081967453892732,0.07724194373677226,0.10675808031341821
5m,VALIDATION,OB,1.50-2.00,16376,N_GE_100,0.04225696140693698,0.03928156648427678,0.04544706727735862,0.05410356619443087
5m,VALIDATION,OB,>2.00,11468,N_GE_100,0.04708754795953959,0.043359934914998864,0.051118496516620614,0.05214509940704569
6H,DISCOVERY,OB,0.00-0.25,587,N_GE_100,0.48211243611584326,0.4419371633758468,0.5225203155829806,0.8739352640545145
6H,DISCOVERY,OB,0.25-0.50,668,N_GE_100,0.3847305389221557,0.3485934217585359,0.42218588098187193,0.6107784431137725
