timeframe,split,direction,control_id,horizon,sample_count,sample_flag,reversal_rate_event,reversal_wilson_lo,reversal_wilson_hi
15m,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,3362,N_GE_100,0.544913741820345,0.5280387611217978,0.5616861980087804
15m,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,1,1997,N_GE_100,0.5473209814722083,0.525419419915657,0.569040831210669
15m,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,3,1997,N_GE_100,0.5533299949924887,0.5314434820565247,0.5750117215937792
15m,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,5,1997,N_GE_100,0.5363044566850276,0.5143836128598446,0.5580858919725221
15m,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,10,1997,N_GE_100,0.5257886830245369,0.5038594165390283,0.547618921376377
1D,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,125,N_GE_100,0.544,0.4566758053599164,0.6287003464419861
1D,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,125,N_GE_100,0.496,0.40978473414855004,0.5824537975058225
1D,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,125,N_GE_100,0.48,0.3943261533805731,0.5668665048912894
1D,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,125,N_GE_100,0.448,0.36366742825085785,0.5354334832559847
1D,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,1,77,N_30_99,0.5584415584415584,0.4473803679096196,0.6639484528955104
1D,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,3,77,N_30_99,0.5194805194805194,0.40963811196379796,0.6274714949712452
1D,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,5,77,N_30_99,0.5324675324675324,0.4221482516277276,0.6397010932640111
1D,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,10,77,N_30_99,0.5324675324675324,0.4221482516277276,0.6397010932640111
1D,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,104,N_GE_100,0.6442307692307693,0.5485886820119005,0.7295971015818149
1D,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,104,N_GE_100,0.6346153846153846,0.5388083768716194,0.720831687815848
1D,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,104,N_GE_100,0.6346153846153846,0.5388083768716194,0.720831687815848
1D,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,104,N_GE_100,0.6057692307692307,0.5096903738886607,0.6943125340800638
1D,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,1,66,N_30_99,0.6212121212121212,0.5005825419249831,0.728507284195839
1D,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,3,66,N_30_99,0.6060606060606061,0.48548180775863853,0.7149717900970809
1D,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,5,66,N_30_99,0.6212121212121212,0.5005825419249831,0.728507284195839
1D,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,10,66,N_30_99,0.6060606060606061,0.48548180775863853,0.7149717900970809
1D,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,38,N_30_99,0.5789473684210527,0.42192070613127325,0.7214772518818047
1D,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,38,N_30_99,0.42105263157894735,0.2785227481181953,0.5780792938687267
1D,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,38,N_30_99,0.5526315789473685,0.3970602917908942,0.6985383468844911
1D,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,38,N_30_99,0.5,0.3484967553286069,0.6515032446713931
1D,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,1,19,N_LT_30,0.5263157894736842,0.31707482511825114,0.7267049451255145
1D,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,3,19,N_LT_30,0.47368421052631576,0.27329505487448547,0.6829251748817489
1D,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,5,19,N_LT_30,0.5789473684210527,0.36275551465160105,0.7685837960796962
1D,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,10,19,N_LT_30,0.631578947368421,0.4103915749815672,0.8085072762372616
1D,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,32,N_30_99,0.53125,0.3644923793257382,0.6913087009831766
1D,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,32,N_30_99,0.59375,0.4225972657298823,0.744805975196862
1D,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,32,N_30_99,0.59375,0.4225972657298823,0.744805975196862
1D,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,29,N_LT_30,0.5517241379310345,0.37547667068067625,0.715870888512542
1D,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,1,19,N_LT_30,0.47368421052631576,0.27329505487448547,0.6829251748817489
1D,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,3,19,N_LT_30,0.42105263157894735,0.2314162039203038,0.6372444853483988
1D,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,5,19,N_LT_30,0.42105263157894735,0.2314162039203038,0.6372444853483988
1D,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,10,18,N_LT_30,0.3888888888888889,0.20304991926931162,0.6138133141934384
1H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,2331,N_GE_100,0.5396825396825397,0.5193997447822244,0.55983475232456
1H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,2331,N_GE_100,0.5220935220935221,0.5017955739567362,0.5423187676756897
1H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,2331,N_GE_100,0.5156585156585156,0.49536131018013335,0.5359041940836249
1H,DISCOVERY,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,2331,N_GE_100,0.4744744744744745,0.45426150144715316,0.49477144365713144
1H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,1,1497,N_GE_100,0.5230460921843687,0.49771752339193265,0.5482566820138877
1H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,3,1497,N_GE_100,0.5090180360721442,0.4837026617823775,0.5342872446807696
1H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,5,1497,N_GE_100,0.5130260521042084,0.48770487847713484,0.5382805419696332
1H,DISCOVERY,OB,PROJECT_DYNAMIC_EXTREMA_V1,10,1497,N_GE_100,0.48964595858383436,0.46438147595148377,0.5149634462574956
1H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,2535,N_GE_100,0.5700197238658777,0.550655647700208,0.5891719019980481
1H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,2535,N_GE_100,0.5723865877712031,0.5530321561697824,0.5915219585886964
1H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,2535,N_GE_100,0.5743589743589743,0.5550129229914279,0.5934799959839031
1H,DISCOVERY,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,2535,N_GE_100,0.558974358974359,0.5395711879657762,0.5781990581181072
1H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,1,1438,N_GE_100,0.545201668984701,0.5193778641455474,0.5707846058511569
1H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,3,1438,N_GE_100,0.5556328233657858,0.5298356534438231,0.5811335403982743
1H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,5,1438,N_GE_100,0.5674547983310153,0.5417016187260464,0.5928485288074969
1H,DISCOVERY,OS,PROJECT_DYNAMIC_EXTREMA_V1,10,1438,N_GE_100,0.5493741307371349,0.5235596150453031,0.5749255444895583
1H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,814,N_GE_100,0.5663390663390664,0.5320607710074178,0.5999941403592822
1H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,814,N_GE_100,0.5356265356265356,0.5012776655468789,0.5696407127796821
1H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,814,N_GE_100,0.5307125307125307,0.4963644564932533,0.5647720765468855
1H,VALIDATION,OB,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,810,N_GE_100,0.5172839506172839,0.4828704735857445,0.5515342557866544
1H,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,1,472,N_GE_100,0.5402542372881356,0.49514820474563825,0.5847103027913237
1H,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,3,472,N_GE_100,0.5254237288135594,0.48035041905858006,0.5700865330700275
1H,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,5,472,N_GE_100,0.5021186440677966,0.45717623772037635,0.5470268416236742
1H,VALIDATION,OB,PROJECT_DYNAMIC_EXTREMA_V1,10,471,N_GE_100,0.5116772823779193,0.46662199416800815,0.5565436256934361
1H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,1,800,N_GE_100,0.57375,0.5392084616910915,0.6075866282868345
1H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,3,799,N_GE_100,0.5832290362953693,0.5487241368203082,0.616937433282686
1H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,5,799,N_GE_100,0.5732165206508135,0.5386503513663401,0.6070820072956924
1H,VALIDATION,OS,CAUSAL_DNO_QUANTILE_80_20_CONTROL_V1,10,799,N_GE_100,0.5381727158948686,0.5035036593489721,0.5724764592696945
1H,VALIDATION,OS,PROJECT_DYNAMIC_EXTREMA_V1,1,485,N_GE_100,0.554639175257732,0.5101488352987615,0.5982707427404235
