timeframe,split,direction,horizon,sample_count_event,sample_count_base,sample_flag_event,sample_flag_base,reversal_rate_event,reversal_rate_base,absolute_lift,relative_lift,event_wilson_lo,event_wilson_hi
4H,DISCOVERY,OS,1,336,6584,N_GE_100,N_GE_100,0.5535714285714286,0.5162515188335358,0.03731990973789279,0.07229016937754817,0.5001080467118834,0.6058236579411079
4H,DISCOVERY,OS,3,336,6584,N_GE_100,N_GE_100,0.5714285714285714,0.5250607533414338,0.046367818087137636,0.0883094342741435,0.5179998432211432,0.6232424296495118
4H,DISCOVERY,OS,5,336,6584,N_GE_100,N_GE_100,0.5773809523809523,0.5317436208991495,0.04563733148180282,0.08582581847363313,0.523979087195548,0.6290333750809948
4H,DISCOVERY,OS,10,336,6584,N_GE_100,N_GE_100,0.5863095238095238,0.5364520048602673,0.049857518949256496,0.09293938413417457,0.5329624455786134,0.6377053008067616
4H,VALIDATION,OB,1,107,2249,N_GE_100,N_GE_100,0.4953271028037383,0.5006669630947087,-0.0053398602909703885,-0.01066549360070368,0.402409058672728,0.5885690578467014
4H,VALIDATION,OB,3,107,2247,N_GE_100,N_GE_100,0.42990654205607476,0.5122385402759234,-0.08233199821984866,-0.16072980017376193,0.34013913708365806,0.5245326107077849
4H,VALIDATION,OB,5,107,2245,N_GE_100,N_GE_100,0.38317757009345793,0.5086859688195992,-0.12550839872614122,-0.24673060870419183,0.29662839013259595,0.4778245228531422
4H,VALIDATION,OB,10,107,2240,N_GE_100,N_GE_100,0.411214953271028,0.5008928571428571,-0.08967790387182911,-0.179036100421477,0.3226357894349217,0.5059484244342394
4H,VALIDATION,OS,1,114,2249,N_GE_100,N_GE_100,0.5614035087719298,0.49933303690529124,0.062070471866638555,0.12430675977566352,0.4697858335407131,0.6490177129148679
4H,VALIDATION,OS,3,114,2247,N_GE_100,N_GE_100,0.43859649122807015,0.48776145972407653,-0.04916496849600638,-0.10079715712639259,0.35098228708513207,0.5302141664592868
4H,VALIDATION,OS,5,114,2245,N_GE_100,N_GE_100,0.5175438596491229,0.4908685968819599,0.026675262767162977,0.05434298086413869,0.4267487861701612,0.6071950842457191
4H,VALIDATION,OS,10,114,2240,N_GE_100,N_GE_100,0.5614035087719298,0.49910714285714286,0.06229636591478693,0.12481561685968035,0.4697858335407131,0.6490177129148679
5m,DISCOVERY,OB,1,19542,322288,N_GE_100,N_GE_100,0.5361784873605567,0.4952651045028049,0.04091338285775181,0.08260905621207582,0.5291800556929572,0.5431626977651492
5m,DISCOVERY,OB,3,19542,322288,N_GE_100,N_GE_100,0.52630232320131,0.4940177729235963,0.03228455027771371,0.06535098947281548,0.5192971660201658,0.5332971413029836
5m,DISCOVERY,OB,5,19542,322288,N_GE_100,N_GE_100,0.5315218503735544,0.4941915305565209,0.0373303198170335,0.07553816184383999,0.5245199049035515,0.538511405040145
5m,DISCOVERY,OB,10,19542,322288,N_GE_100,N_GE_100,0.5168355337222392,0.49195750384749043,0.024878029874748797,0.05056946927363293,0.5098265075149135,0.5238379421141062
5m,DISCOVERY,OS,1,19368,322288,N_GE_100,N_GE_100,0.546416769929781,0.49712679342699695,0.049289976502784105,0.09914970819214619,0.5393968632786079,0.5534182669049881
5m,DISCOVERY,OS,3,19368,322288,N_GE_100,N_GE_100,0.5438868236266006,0.5016910341061411,0.04219578952045944,0.08410712301374756,0.5368641888532866,0.5508920521434393
5m,DISCOVERY,OS,5,19368,322288,N_GE_100,N_GE_100,0.5499277158199092,0.5026373926426053,0.04729032317730386,0.09408437149627091,0.5429118977079781,0.5569237317553561
5m,DISCOVERY,OS,10,19368,322288,N_GE_100,N_GE_100,0.5384138785625775,0.505702973737775,0.032710904824802545,0.06468402703473974,0.5313859656909765,0.5454265558402753
5m,VALIDATION,OB,1,6275,107941,N_GE_100,N_GE_100,0.5555378486055776,0.49880953483847656,0.05672831376710108,0.11372740456028119,0.5432127281613045,0.5677950093168952
5m,VALIDATION,OB,3,6275,107939,N_GE_100,N_GE_100,0.538804780876494,0.4977440962024847,0.04106068467400925,0.08249356443859379,0.5264506937514509,0.5511113839413514
